txn_id,txn_date,value_date,narration,ref_no,debit_amount,credit_amount,balance
REAL000001,01/05/2026,01/05/2026,UPI/612124918501/11:05:45/UPI/user01@pta/U,612124918501,10.00,,"7,871.25"
REAL000002,01/05/2026,01/05/2026,00000000000000:Int.Pd:01-02-2026 to 30-04-2026,,,38.00,"7,909.25"
REAL000003,01/05/2026,01/05/2026,UPI/612114311303/13:02:57/UPI/user02@pty/U,612114311303,90.00,,"7,819.25"
REAL000004,01/05/2026,01/05/2026,UPI/612133622913/13:35:06/UPI/user03@ybl/UPI,612133622913,85.00,,"7,734.25"
REAL000005,01/05/2026,01/05/2026,UPI/612181929010/15:28:43/UPI/user04@axl/UPi,612181929010,10.00,,"7,724.25"
REAL000006,05/05/2026,05/05/2026,UPI/649114674479/13:13:01/UPI/user05@p,649114674479,5.00,,"7,719.25"
REAL000007,07/05/2026,07/05/2026,UPI/649384232179/10:45:54/UPI/user05@p,649384232179,12.00,,"7,707.25"
REAL000008,07/05/2026,07/05/2026,UPI/612761404205/20:32:27/UPI/user06@ok,612761404205,20.00,,"7,687.25"
REAL000009,09/05/2026,09/05/2026,UPI/649568561946/16:51:53/UPI/user05@p,649568561946,370.00,,"7,317.25"
REAL000010,10/05/2026,10/05/2026,UPI/613052255202/17:01:21/UPI/user07@pty/U,613052255202,150.00,,"7,167.25"
REAL000011,10/05/2026,10/05/2026,UPI/613028449704/17:03:47/UPI/user08@pty/U,613028449704,150.00,,"7,017.25"
REAL000012,10/05/2026,10/05/2026,UPI/613096292437/21:06:01/UPI/user09@ptaxis/U,613096292437,60.00,,"6,957.25"
REAL000013,11/05/2026,11/05/2026,UPI/649733244359/13:34:52/UPI/user10@i,649733244359,62.00,,"6,895.25"
REAL000014,11/05/2026,11/05/2026,UPI/649790244174/15:49:08/UPI/user11@ybl/UPI,649790244174,30.00,,"6,865.25"
REAL000015,13/05/2026,13/05/2026,UPI/094837971534/09:48:39/UPI/user12@upi/NO R,094837971534,,"1,500.00","8,365.25"
REAL000016,13/05/2026,13/05/2026,UPI/613358392147/09:52:59/UPI/user13,613358392147,"1,200.00",,"7,165.25"
REAL000017,13/05/2026,13/05/2026,UPI/613377347990/20:54:19/UPI/user09@ptaxis/U,613377347990,16.00,,"7,149.25"
REAL000018,13/05/2026,13/05/2026,UPI/649931759328/21:00:26/UPI/user14@ok,649931759328,10.00,,"7,139.25"
REAL000019,13/05/2026,13/05/2026,UPI/649936048594/21:08:56/UPI/user15@okhdf,649936048594,56.00,,"7,083.25"
REAL000020,14/05/2026,14/05/2026,UPI/650060378639/11:15:00/UPI/user16@ybl/UPI,650060378639,30.00,,"7,053.25"
REAL000021,15/05/2026,15/05/2026,UPI/650100124791/18:13:50/UPI/user06@ok,650100124791,20.00,,"7,033.25"
REAL000022,15/05/2026,15/05/2026,UPI/650145626189/18:48:42/UPI/user17@axl/UPI,650145626189,57.00,,"6,976.25"
REAL000023,16/05/2026,16/05/2026,UPI/613643313441/17:24:48/UPI/user18@ybl/UPI,613643313441,130.00,,"6,846.25"
REAL000024,16/05/2026,16/05/2026,UPI/613606427072/18:37:47/UPI/user18@ybl/UPI,613606427072,120.00,,"6,726.25"
REAL000025,20/05/2026,20/05/2026,UPI/606496432015/17:51:48/UPI/user19@ptyes/Se,606496432015,,"2,000.00","8,726.25"
REAL000026,20/05/2026,20/05/2026,UPI/650632982357/17:55:46/UPI/user20@axl/UPI,650632982357,892.00,,"7,834.25"
REAL000027,20/05/2026,20/05/2026,UPI/270493699242/18:20:29/UPI/user21@ybl/Paym,270493699242,,160.00,"7,994.25"
REAL000028,20/05/2026,20/05/2026,UPI/245274415576/18:20:41/UPI/user20@axl/Paym,245274415576,,150.00,"8,144.25"
REAL000029,21/05/2026,21/05/2026,UPI/614166625207/12:04:40/UPI/user22@ok,614166625207,"1,300.00",,"6,844.25"
REAL000030,21/05/2026,21/05/2026,UPI/614188351730/14:51:59/UPI/user23@ptys/,614188351730,325.00,,"6,519.25"
REAL000031,21/05/2026,21/05/2026,UPI/614105688861/20:27:49/UPI/user24@okaxis/UP,614105688861,150.00,,"6,369.25"
REAL000032,21/05/2026,21/05/2026,UPI/614105688861/20:27:49/REVERSAL,614105688861,,150.00,"6,519.25"
REAL000033,21/05/2026,21/05/2026,UPI/614185505886/20:34:41/UPI/user25@oksbi/UPI,614185505886,150.00,,"6,369.25"
