txn_id,txn_date,value_date,narration,ref_no,debit_amount,credit_amount,balance
BANK000001,01/04/2025,01/04/2025,NEFT DR-URBAN LADDER RENT-08423,,"55,000.00",,"11,45,000.00"
BANK000002,02/04/2025,02/04/2025,UPI-BLUEDART EXPRESS-53103@paytm,,"1,319.95",,"11,43,680.05"
BANK000003,02/04/2025,02/04/2025,POS 4287XXXXXX INDIAN OIL-74232,,"2,896.72",,"11,40,783.33"
BANK000004,02/04/2025,02/04/2025,IMPS-P2A-FREELANCE DESIGN-52681,,"4,005.00",,"11,36,778.33"
BANK000005,02/04/2025,02/04/2025,SAL-NEFT-STAFF PAYROLL-42368,,"4,19,996.88",,"7,16,781.45"
BANK000006,03/04/2025,03/04/2025,BY TRANSFER-NEFT*IDFB629341437167*RAZORPAY,NEFTIN78985948,,602.44,"7,17,383.89"
BANK000007,03/04/2025,03/04/2025,NEFT-ICIC367502599174-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT,ICIC367502599174,,"60,882.16","7,78,266.05"
BANK000008,03/04/2025,03/04/2025,UPI-SWIGGY INSTAMART-23811@ybl,,267.84,,"7,77,998.21"
BANK000009,03/04/2025,03/04/2025,NEFT DR-VISTAPRINT MARKETING-48571,,769.47,,"7,77,228.74"
BANK000010,05/04/2025,05/04/2025,UPI-SWIGGY INSTAMART-38780@ybl,,295.18,,"7,76,933.56"
BANK000011,05/04/2025,05/04/2025,UPI-SWIGGY INSTAMART-23294@ybl,,"1,201.72",,"7,75,731.84"
BANK000012,05/04/2025,05/04/2025,UPI-MAKEMYTRIP HOLIDAYS-20305@okhdfc,,"2,860.43",,"7,72,871.41"
BANK000013,05/04/2025,05/04/2025,NEFT DR-AMAZON WEB SERVICES INDIA PL-INV40180,,"17,297.86",,"7,55,573.55"
BANK000014,07/04/2025,07/04/2025,NEFT CR-ICIC183524264871-RAZORPAY SOFTWARE PVT LTD,ICIC183524264871,,512.61,"7,56,086.16"
BANK000015,07/04/2025,07/04/2025,IMPS-P2A CR-KHATRI TRADERS-INV 51243,,,"29,305.96","7,85,392.12"
BANK000016,07/04/2025,07/04/2025,NEFT-HDFC659292592201-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT,NEFTIN21264437,,"36,570.32","8,21,962.44"
BANK000017,07/04/2025,07/04/2025,BY TRANSFER-NEFT*ICIC951592503523*RAZORPAY,NEFTIN27599629,,"63,895.71","8,85,858.15"
BANK000018,07/04/2025,07/04/2025,BY TRANSFER-NEFT*KKBK386503218673*RAZORPAY,NEFTIN47274939,,"1,16,461.28","10,02,319.43"
BANK000019,07/04/2025,07/04/2025,TDS PAYMENT-CBDT-18942,,"42,000.00",,"9,60,319.43"
BANK000020,08/04/2025,08/04/2025,RTGS-IDFB455766080131-RAZORPAY SOFTWARE PL-SETL,NEFTIN04701510,,"23,291.25","9,83,610.68"
BANK000021,08/04/2025,08/04/2025,UPI-BLUEDART EXPRESS-65925@paytm,,"1,524.68",,"9,82,086.00"
BANK000022,09/04/2025,09/04/2025,NEFT CR-IDFB121473639558-RAZORPAY SOFTWARE PVT LTD,IDFB121473639558,,"24,124.59","10,06,210.59"
BANK000023,09/04/2025,09/04/2025,NEFT CR-IDFB259748615652-RAZORPAY SOFTWARE PVT LTD,IDFB259748615652,,"43,147.42","10,49,358.01"
BANK000024,09/04/2025,09/04/2025,UPI-BLUEDART EXPRESS-71233@paytm,,"1,365.34",,"10,47,992.67"
BANK000025,09/04/2025,09/04/2025,UPI-BLUEDART EXPRESS-42723@paytm,,"1,932.03",,"10,46,060.64"
BANK000026,10/04/2025,10/04/2025,UPI-BLUEDART EXPRESS-31223@paytm,,684.89,,"10,45,375.75"
BANK000027,10/04/2025,10/04/2025,IMPS-P2A-COURIER DTDC-27918,,"1,397.57",,"10,43,978.18"
BANK000028,10/04/2025,10/04/2025,UPI-SWIGGY INSTAMART-64228@ybl,,"1,439.27",,"10,42,538.91"
BANK000029,11/04/2025,11/04/2025,NEFT CR 74966524003 RAZORPAY SOFTWARE,NEFTIN47236078,,"73,427.65","11,15,966.56"
BANK000030,12/04/2025,12/04/2025,RTGS-UTIB133044350985-RAZORPAY SOFTWARE PL-SETL,UTIB133044350985,,"65,596.63","11,81,563.19"
BANK000031,12/04/2025,12/04/2025,UPI-BLUEDART EXPRESS-91176@paytm,,873.36,,"11,80,689.83"
BANK000032,12/04/2025,12/04/2025,UPI-BLUEDART EXPRESS-57100@paytm,,891.75,,"11,79,798.08"
BANK000033,12/04/2025,12/04/2025,UPI-BHARTI AIRTEL-34765@icici,,"2,499.00",,"11,77,299.08"
BANK000034,12/04/2025,12/04/2025,UPI-MAKEMYTRIP HOLIDAYS-65489@okhdfc,,"4,954.71",,"11,72,344.37"
BANK000035,14/04/2025,14/04/2025,BY TRANSFER-NEFT*ICIC637438648801*RAZORPAY,ICIC637438648801,,"2,184.29","11,74,528.66"
BANK000036,14/04/2025,14/04/2025,RTGS-IDFB668127690903-RAZORPAY SOFTWARE PL-SETL,IDFB668127690903,,"32,297.89","12,06,826.55"
BANK000037,14/04/2025,14/04/2025,RTGS-ICIC466742813033-RAZORPAY SOFTWARE PL-SETL,ICIC466742813033,,"50,695.83","12,57,522.38"
BANK000038,14/04/2025,14/04/2025,NEFT DR-VISTAPRINT MARKETING-96501,,"1,667.09",,"12,55,855.29"
BANK000039,14/04/2025,14/04/2025,POS 4287XXXXXX INDIAN OIL-82075,,"1,735.13",,"12,54,120.16"
BANK000040,14/04/2025,14/04/2025,IMPS-P2A-COURIER DTDC-76121,,"2,482.23",,"12,51,637.93"
BANK000041,15/04/2025,15/04/2025,BY TRANSFER-NEFT*ICIC125355500822*RAZORPAY,NEFTIN32013265,,"2,213.79","12,53,851.72"
BANK000042,15/04/2025,15/04/2025,NEFT CR-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT,NEFTIN12961945,,"31,625.33","12,85,477.05"
