record_type,record_id,expected_disposition,counterparty_ids,scenario_tag,expected_discrepancy_paise,notes
settlement,setl_eaJX1ElpqQvKTV,matched,BANK000007,clean_exact_utr,0,
settlement,setl_0D7QcT3kWC3yLr,matched,BANK000006,clean_exact_utr,0,
settlement,setl_PzzFBAStBu7hGu,matched,BANK000018,delayed_settlement,0,
settlement,setl_fhWQo4Um9MuZJm,matched,BANK000022,delayed_settlement,0,
settlement,setl_SnClBzlpG4fOCM,matched_with_discrepancy,BANK000016,matched_with_discrepancy,-2950,
settlement,setl_f19thxprFFRmtn,matched,BANK000014,clean_exact_utr,0,
settlement,setl_QjRZnyUYkHJoNG,matched,BANK000017,utr_mangled_typo,0,
settlement,setl_HMcYAO4VYp3Xeo,matched,BANK000020,clean_exact_utr,0,
settlement,setl_XIfdcDLQk8EPyh,matched_merged,BANK000023,merged_credits,0,
settlement,setl_7cDJyw1X4e2DeI,matched_merged,BANK000023,merged_credits,0,
settlement,setl_kewZKQthcYxyI6,exception_missing_bank,,missing_bank_credit,0,settlement processed by PSP but no bank credit ever arrived
settlement,setl_wYvH3Rg3TtnxHa,matched,BANK000029,utr_truncated,0,
settlement,setl_rmZRuf2IrjOaoz,matched,BANK000030,clean_exact_utr,0,
settlement,setl_j8vhr5uiipN1Cp,matched,BANK000036,clean_exact_utr,0,
settlement,setl_0FBE9u5sltsNRb,matched,BANK000037,clean_exact_utr,0,
settlement,setl_36QtCtfIMZ5L59,matched,BANK000035,clean_exact_utr,0,
settlement,setl_utH7TUeG0gEJ1L,matched,BANK000042,utr_absent_amount_unique,0,
settlement,setl_Dk5U8rfriBjFJ6,matched,BANK000046,utr_mangled_typo,0,
settlement,setl_DtMhpTeCpqat4j,matched,BANK000049,clean_exact_utr,0,
settlement,setl_GUsll3DsbB1Rs0,matched,BANK000052,utr_truncated,0,
settlement,setl_5T86fXM2jkT4SW,matched,BANK000053,clean_exact_utr,0,
settlement,setl_8pP0jsNW2pzlVX,matched,BANK000057,clean_exact_utr,0,
settlement,setl_wT4swNh5Fhe3UG,matched,BANK000056,utr_absent_amount_unique,0,
settlement,setl_4OpHP9sP7QT5bE,exception_missing_bank,,missing_bank_credit,0,settlement processed by PSP but no bank credit ever arrived
settlement,setl_KLPbndxwBDidoL,matched,BANK000061,utr_truncated,0,
settlement,setl_xBGj7NdtKtOoK4,ambiguous_abstain,BANK000064,ambiguous_twins,0,"indistinguishable twin settlements; one of them was paid by the single arriving credit, the other was not — requires bank enquiry"
settlement,setl_W1QZjz3Po0gX4V,ambiguous_abstain,BANK000064,ambiguous_twins,0,"indistinguishable twin settlements; one of them was paid by the single arriving credit, the other was not — requires bank enquiry"
settlement,setl_i2jJO1ygcvVWvZ,matched,BANK000067,clean_exact_utr,0,
settlement,setl_ontzoU8WpuFjRt,exception_missing_bank,,missing_bank_credit,0,settlement processed by PSP but no bank credit ever arrived
settlement,setl_nNwThKhckXgz8u,matched,BANK000070,clean_exact_utr,0,
settlement,setl_1f23Yen8hgkCov,matched_split,BANK000075;BANK000074,split_settlement,0,
settlement,setl_9rTwvyzmXXtm8t,matched_with_discrepancy,BANK000076,matched_with_discrepancy,-2950,
settlement,setl_CcgYmCeGu8h0BR,matched_with_discrepancy,BANK000078,matched_with_discrepancy,-2950,
settlement,setl_YEBakP0dwN8WK2,matched,BANK000077,clean_exact_utr,0,
settlement,setl_i8EOtwFwW7b8Be,matched,BANK000082,duplicate_bank_credit,0,
settlement,setl_4fOocqaMZIsq56,matched,BANK000086,clean_exact_utr,0,
settlement,setl_zrJfKzzaLI3tky,matched,BANK000090,clean_exact_utr,0,
settlement,setl_4OPLkcty0yP3sl,matched_split,BANK000094;BANK000095,split_settlement,0,
settlement,setl_x9ijwcAgRMjZQE,matched,BANK000097,clean_exact_utr,0,
settlement,setl_2ixuLqPtFyOavH,matched,BANK000099,utr_absent_amount_unique,0,
settlement,setl_0EvTXMGTYLPm9A,matched,BANK000100,clean_exact_utr,0,
settlement,setl_Iiz7qUkZpBO86U,matched,BANK000104,utr_truncated,0,
settlement,setl_qC7NqtX01SMe19,matched,BANK000109,clean_exact_utr,0,
settlement,setl_IfgnJoxOf8Cf4H,matched_with_discrepancy,BANK000111,matched_with_discrepancy,-49665,
settlement,setl_wsY0KlmQgrWOI7,matched_split,BANK000113;BANK000114,split_settlement,0,
settlement,setl_yFwrDVhiy3f9pV,matched,BANK000117,clean_exact_utr,0,
settlement,setl_e1AYtbDLvu1EEG,matched,BANK000116,clean_exact_utr,0,
settlement,setl_rBg4shLOpllZl4,matched_with_discrepancy,BANK000121,matched_with_discrepancy,-28742,
settlement,setl_GvnmnVOVu1xzDl,matched,BANK000119,clean_exact_utr,0,
settlement,setl_IHxDfqTYA8mSCY,matched,BANK000120,clean_exact_utr,0,
settlement,setl_cJzpAwRPB7eNu7,matched,BANK000136,delayed_settlement,0,
settlement,setl_9zFkPplN9yMkFJ,exception_missing_bank,,missing_bank_credit,0,settlement processed by PSP but no bank credit ever arrived
settlement,setl_j0hINPkbJOPZMm,matched,BANK000125,utr_absent_amount_unique,0,
settlement,setl_iQSPBi0CTt8zGA,matched,BANK000126,utr_truncated,0,
settlement,setl_pjBjCtsXlrgYOg,matched,BANK000129,clean_exact_utr,0,
settlement,setl_Oz2WqDG2eWumM0,matched,BANK000132,duplicate_bank_credit,0,
settlement,setl_bXkglEtN1VDZc0,matched_split,BANK000135;BANK000138,split_settlement,0,
settlement,setl_XTSXES6E6pNBwN,matched,BANK000143,clean_exact_utr,0,
settlement,setl_uq9Ql0HeACZEp5,matched,BANK000144,clean_exact_utr,0,
settlement,setl_4DCGIBvlxPvyQX,matched,BANK000145,duplicate_bank_credit,0,
settlement,setl_8NHxZwfT3sxzmG,matched,BANK000149,near_collision,0,
settlement,setl_w8jDzUTqhPXwVB,matched,BANK000154,near_collision,0,
settlement,setl_PCpqGCg7BTt1n7,matched,BANK000158,utr_mangled_separators,0,
settlement,setl_zkGYMq2dt30OrN,matched,BANK000160,clean_exact_utr,0,
settlement,setl_0Letj9yrokVRIP,matched,BANK000164,clean_exact_utr,0,
settlement,setl_ThfRnt3B1d0VhM,matched,BANK000169,clean_exact_utr,0,
settlement,setl_J2PMBkXBpQ0QcT,matched,BANK000168,near_collision,0,
settlement,setl_71LwpeWkyrPT0d,matched,BANK000170,clean_exact_utr,0,
settlement,setl_ciyVqcLWrN0Hl8,matched,BANK000174,utr_absent_amount_unique,0,
settlement,setl_pkUKsD3gdPcVxQ,matched,BANK000178,near_collision,0,
settlement,setl_haAaQMnAH8n7pq,matched,BANK000195,delayed_settlement,0,
settlement,setl_FSGyHOANDrzj2U,matched,BANK000182,utr_mangled_separators,0,
settlement,setl_jnuri38fo7sMjC,matched,BANK000186,clean_exact_utr,0,
settlement,setl_hVLunKHzRsIHI9,matched_split,BANK000188;BANK000187,split_settlement,0,
settlement,setl_H3UnuOiQ3c6KS1,matched,BANK000192,duplicate_bank_credit,0,
settlement,setl_NbJ2qTME2hCE3K,matched,BANK000197,utr_absent_amount_unique,0,
settlement,setl_16hUKEDHfsQSsm,matched,BANK000196,clean_exact_utr,0,
settlement,setl_VhZu6f6hBfBhRT,ambiguous_abstain,BANK000203,ambiguous_twins,0,"indistinguishable twin settlements; one of them was paid by the single arriving credit, the other was not — requires bank enquiry"
settlement,setl_6yPrPteGeQj9DL,ambiguous_abstain,BANK000203,ambiguous_twins,0,"indistinguishable twin settlements; one of them was paid by the single arriving credit, the other was not — requires bank enquiry"
settlement,setl_qHcqVMuQWx4XE1,matched,BANK000204,clean_exact_utr,0,
settlement,setl_FczN44pxVM3pX2,matched,BANK000205,utr_truncated,0,
settlement,setl_u4CgUHArCowcE2,matched,BANK000209,clean_exact_utr,0,
settlement,setl_qnO6kHYqPI6nl8,matched,BANK000212,clean_exact_utr,0,
settlement,setl_LXBmnUFBXfpRvE,matched,BANK000216,utr_mangled_typo,0,
settlement,setl_tAYBt2FClX2ZwW,matched,BANK000217,utr_truncated,0,
settlement,setl_jYa24Xwphe0kKk,matched,BANK000219,utr_mangled_typo,0,
settlement,setl_dWbQToZOUi7Noa,exception_missing_bank,,missing_bank_credit,0,settlement processed by PSP but no bank credit ever arrived
settlement,setl_4DgekV8B8S4QL7,matched_with_discrepancy,BANK000222,matched_with_discrepancy,-2950,
settlement,setl_FsCFcmzGiiWfGB,matched,BANK000227,utr_truncated,0,
settlement,setl_hMyIeRaHel90mo,matched,BANK000229,utr_mangled_separators,0,
settlement,setl_9IfyGWU1TujH72,matched,BANK000230,clean_exact_utr,0,
settlement,setl_GrTHucmE7oLIlp,matched,BANK000232,clean_exact_utr,0,
settlement,setl_gU7RuvzFOWt5IV,matched_with_discrepancy,BANK000231,matched_with_discrepancy,-36655,
settlement,setl_0WHC9wBot0QsSr,matched,BANK000235,clean_exact_utr,0,
settlement,setl_YnMH0wZDC0CHrv,matched,BANK000237,utr_absent_amount_unique,0,
settlement,setl_V4RrnQMdLLCfmw,matched,BANK000239,clean_exact_utr,0,
settlement,setl_kzv3xveqLomx9h,matched,BANK000241,utr_absent_amount_unique,0,
settlement,setl_R1Txn5yzZueCwN,matched,BANK000243,utr_truncated,0,
settlement,setl_1jpkSgpmNN3NZH,matched,BANK000247,utr_mangled_separators,0,
settlement,setl_D4tLAimhY1OQvM,matched,BANK000250,clean_exact_utr,0,
settlement,setl_Nu1pnrC96XiS4a,matched_merged,BANK000254,merged_credits,0,
settlement,setl_BSbaZYgI6qQ34M,matched_merged,BANK000254,merged_credits,0,
settlement,setl_50xLBJWxlxTGaL,exception_missing_bank,,missing_bank_credit,0,settlement processed by PSP but no bank credit ever arrived
settlement,setl_pvRHq7tiUmlCkj,matched,BANK000257,near_collision,0,
settlement,setl_nlvFRTtSJmctDW,matched,BANK000261,near_collision,0,
settlement,setl_FSUSiBrVDTHkay,exception_missing_bank,,missing_bank_credit,0,settlement processed by PSP but no bank credit ever arrived
settlement,setl_6GfMbyomxhPKty,exception_missing_bank,,missing_bank_credit,0,settlement processed by PSP but no bank credit ever arrived
settlement,setl_CfKBXkefjeU4aB,matched,BANK000264,clean_exact_utr,0,
settlement,setl_DNuuVtS7W3FATE,matched,BANK000265,clean_exact_utr,0,
bank_credit,BANK000129,matched,setl_pjBjCtsXlrgYOg,clean_exact_utr,0,
bank_credit,BANK000035,matched,setl_36QtCtfIMZ5L59,clean_exact_utr,0,
