record_type,record_id,expected_disposition,counterparty_ids,scenario_tag,expected_discrepancy_paise,notes
order,order_VLHJoU3oRH95id,order_paid,pay_qZQ0yBy0kbflb2,order_paid_clean,0,
order,order_DGvYY9czelR3v4,order_paid,pay_CcPzIAxohWJnxu,order_paid_clean,0,
order,order_fmTxuIjNw6yGAL,order_refunded,pay_GlMktKORPeFOy5,order_refunded,0,
order,order_yudhUielLWMS5G,order_paid,pay_PA9Vn6HsDIJd0w,order_paid_clean,0,
order,order_CDFqKwjB3TgFVb,order_paid,pay_xM39IMrWsrshGN,order_paid_clean,0,
order,order_joTgn77LiCC5zZ,order_paid,pay_kFKWjBJHHr6YwP,order_paid_clean,0,
order,order_jhS5EhqFCukZUA,order_paid,pay_m1fb28Yhnim6sZ,order_paid_clean,0,
order,order_YsgpAQJis3OIfk,order_paid,pay_ii0TMNE4emdKz8,order_paid_clean,0,
order,order_PgA8VV7LUsQ6zT,order_paid,pay_0DKPj7VerghwxF,order_paid_clean,0,
order,order_Wav3Vt2I5eFCMr,order_paid,pay_kHN8KdrFCSFxTB,order_paid_clean,0,
order,order_l3CpGxzj7FULn5,order_paid,pay_pv6X6ncgahZznq,order_paid_clean,0,
order,order_shFKyPIkxAk9jq,order_paid,pay_noCCCTOtTgCkJq,order_paid_clean,0,
order,order_9xkwBCw2rZn0lo,order_refunded,pay_eFcZWAQIKePZ6k,order_refunded,0,
order,order_U1z5U4Uy4MCVn3,order_paid,pay_ZHBbdnu8uxQSIG,order_paid_clean,0,
order,order_xKHEHcBsQw4oKR,order_paid,pay_r5Ts1FiCREFKnc,order_paid_clean,0,
order,order_8G73aIkaTr0UdO,exception_unpaid_order,,order_unpaid,0,no captured payment ever arrived for this order
order,order_atKGC0Y24MNyTM,order_paid,pay_fizqc4q9ebYIU8,order_paid_clean,0,
order,order_5jCbLQJzWtpU8R,order_paid,pay_tP6147AMCOVVv9,order_paid_clean,0,
order,order_sR1L6EBDXGsRMj,order_paid,pay_9y3lwH1raAWllJ,order_paid_clean,0,
order,order_jTdo5tOKx6yKZt,order_paid,pay_ABeyrWDob2YFST,order_paid_clean,0,
order,order_g4OoePVBdyLwrZ,order_paid,pay_582Lk2Rvu2H2lH,order_paid_clean,0,
order,order_9QcCknoeJ4XaRK,order_paid,pay_JCeVQrwDtIEr9o,order_paid_clean,0,
order,order_qf9uWBwAaKYlAF,order_paid,pay_VRNAsj260PGEDH,order_paid_clean,0,
order,order_76DfCURyMTyso7,order_paid,pay_WXVPku13g4W0jN,order_paid_clean,0,
order,order_Sw16fdmNhdyJKG,order_paid,pay_HvD45a0yy1CoRw,order_paid_clean,0,
order,order_IMTn1lQfObkzLT,order_paid,pay_0rmbHeiOyZLdN8,order_paid_clean,0,
order,order_8xM0mFn52mtNQu,order_paid,pay_PQ2g8XXpj4kEbZ,order_paid_clean,0,
order,order_Gjasy2BmoGlnZQ,order_paid,pay_YnISeEXEB3LI02,order_paid_clean,0,
order,order_VjhFVKW2XcIpNE,order_paid,pay_E83BsRhcwBO61z,order_paid_clean,0,
order,order_YMdcLPQd7SYDnB,order_paid,pay_eqKT2GC0VusmcP,order_paid_clean,0,
order,order_0Di0fFdruiYdL3,order_paid,pay_8caOHWziVBeIo5,order_paid_clean,0,
order,order_NoFOcGrZhoFMUH,order_paid,pay_aE8S28qtFbex4s,order_paid_clean,0,
order,order_MfAAxQElClobHH,order_paid,pay_iXpRxdaFkD5yS7,order_paid_clean,0,
order,order_wtdqerM36iphqK,order_paid,pay_Ieezs2VxnfYRRC,order_paid_clean,0,
order,order_Tiv0O0gHoluCnr,exception_unpaid_order,,order_unpaid,0,no captured payment ever arrived for this order
order,order_HIfdBEjyN0BSUS,order_paid,pay_W85BB2ao9Q5yNm,order_paid_clean,0,
order,order_ii6FVyy84WWUpQ,order_paid,pay_kDEtoIqe0wNopy,order_paid_clean,0,
order,order_etqskkhfCpG1NV,order_paid,pay_9opyHC6C69ljkv,order_paid_clean,0,
order,order_ZJBWK55yhSapRw,order_paid,pay_FXek9beDwfauSb,order_paid_clean,0,
order,order_GUgbNe371XYEpt,order_paid,pay_Bj7LtvLA5uh321,order_paid_clean,0,
