obligation_key,due_date,posted_date,amount_paise,txn_id,narration
payroll,2025-04-01,2025-04-02,41999688,BANK000005,SAL-NEFT-STAFF PAYROLL-42368
rent,2025-04-01,2025-04-01,5500000,BANK000001,NEFT DR-URBAN LADDER RENT-08423
aws,2025-04-05,2025-04-05,1729786,BANK000013,NEFT DR-AMAZON WEB SERVICES INDIA PL-INV40180
tds,2025-04-07,2025-04-07,4200000,BANK000019,TDS PAYMENT-CBDT-18942
telecom,2025-04-12,2025-04-12,249900,BANK000033,UPI-BHARTI AIRTEL-34765@icici
insurance,2025-04-15,2025-04-15,3600000,BANK000045,ACH-D-LIC PREMIUM-48841
gst,2025-04-20,2025-04-21,4157000,BANK000059,GST PAYMENT-CBIC-10523
payroll,2025-05-01,2025-05-01,42745953,BANK000093,SAL-NEFT-STAFF PAYROLL-53790
rent,2025-05-01,2025-05-01,5500000,BANK000092,NEFT DR-URBAN LADDER RENT-72175
aws,2025-05-05,2025-05-05,1858829,BANK000103,NEFT DR-AMAZON WEB SERVICES INDIA PL-INV20157
tds,2025-05-07,2025-05-07,4199900,BANK000110,TDS PAYMENT-CBDT-64618
telecom,2025-05-12,2025-05-12,249900,BANK000124,UPI-BHARTI AIRTEL-54558@icici
gst,2025-05-20,2025-05-20,3990000,BANK000153,GST PAYMENT-CBIC-93743
payroll,2025-06-01,2025-06-02,42959938,BANK000202,SAL-NEFT-STAFF PAYROLL-36501
rent,2025-06-01,2025-06-02,5500000,BANK000201,NEFT DR-URBAN LADDER RENT-88276
aws,2025-06-05,2025-06-05,1828338,BANK000208,NEFT DR-AMAZON WEB SERVICES INDIA PL-INV42585
tds,2025-06-07,2025-06-07,4274500,BANK000215,TDS PAYMENT-CBDT-74020
telecom,2025-06-12,2025-06-12,249900,BANK000226,UPI-BHARTI AIRTEL-44359@icici
gst,2025-06-20,2025-06-23,4322000,BANK000253,GST PAYMENT-CBIC-69720
