record_type,record_id,expected_disposition,counterparty_ids,scenario_tag,expected_discrepancy_paise,notes
purchase,BANK000004,no_itc_applicable,,tax_no_itc,0,unregistered_supplier
purchase,BANK000003,no_itc_applicable,,tax_no_itc,0,non_gst_supply_fuel
purchase,BANK000002,itc_matched,2B000008,tax_clean,0,
purchase,BANK000008,blocked_credit_no_itc,2B000030,tax_blocked_credit,0,blocked_17_5_food_and_beverages
purchase,BANK000009,itc_deferred_next_period,2B000056,tax_filed_late,0,vendor filed in the following period
purchase,BANK000011,blocked_credit_no_itc,2B000029,tax_blocked_credit,0,blocked_17_5_food_and_beverages
purchase,BANK000012,blocked_credit_no_itc,2B000001,tax_blocked_credit,0,blocked_17_5_vacation_travel
purchase,BANK000010,blocked_credit_no_itc,2B000031,tax_blocked_credit,0,blocked_17_5_food_and_beverages
purchase,BANK000021,itc_matched,2B000010,tax_clean,0,
purchase,BANK000024,itc_matched,2B000011,tax_clean,0,
purchase,BANK000025,itc_matched,2B000007,tax_clean,0,
purchase,BANK000028,blocked_credit_no_itc,2B000033,tax_blocked_credit,0,blocked_17_5_food_and_beverages
purchase,BANK000027,itc_matched,2B000019,tax_clean,0,
purchase,BANK000026,itc_matched,2B000006,tax_clean,0,
purchase,BANK000034,blocked_credit_no_itc,2B000003,tax_blocked_credit,0,blocked_17_5_vacation_travel
purchase,BANK000031,itc_matched,2B000012,tax_clean,0,
purchase,BANK000032,itc_matched,2B000009,tax_clean,0,
purchase,BANK000040,itc_matched,2B000022,tax_clean,0,
purchase,BANK000039,no_itc_applicable,,tax_no_itc,0,non_gst_supply_fuel
purchase,BANK000038,itc_matched,2B000016,tax_clean,0,
purchase,BANK000043,no_itc_applicable,,tax_no_itc,0,non_gst_supply_fuel
purchase,BANK000044,itc_matched,2B000020,tax_clean,0,
purchase,BANK000047,itc_deferred_next_period,2B000065,tax_filed_late,0,vendor filed in the following period
purchase,BANK000048,no_itc_applicable,,tax_no_itc,0,non_gst_supply_fuel
purchase,BANK000051,itc_matched,2B000017,tax_invoice_typo,0,
purchase,BANK000050,blocked_credit_no_itc,2B000035,tax_blocked_credit,0,blocked_17_5_food_and_beverages
purchase,BANK000054,blocked_credit_no_itc,2B000032,tax_blocked_credit,0,blocked_17_5_food_and_beverages
purchase,BANK000055,blocked_credit_no_itc,2B000034,tax_blocked_credit,0,blocked_17_5_food_and_beverages
purchase,BANK000058,itc_matched,2B000014,tax_clean,0,
purchase,BANK000062,itc_matched,2B000021,tax_clean,0,
purchase,BANK000063,no_itc_applicable,,tax_no_itc,0,unregistered_supplier
purchase,BANK000066,blocked_credit_no_itc,2B000002,tax_blocked_credit,0,blocked_17_5_vacation_travel
purchase,BANK000065,itc_matched,2B000024,tax_clean,0,
purchase,BANK000068,no_itc_applicable,,tax_no_itc,0,non_gst_supply_fuel
purchase,BANK000069,no_itc_applicable,,tax_no_itc,0,non_gst_supply_fuel
purchase,BANK000071,itc_matched,2B000015,tax_clean,0,
purchase,BANK000073,no_itc_applicable,,tax_no_itc,0,unregistered_supplier
purchase,BANK000072,itc_head_mismatch,2B000026,tax_wrong_head,0,
purchase,BANK000079,itc_amount_mismatch,2B000025,tax_amount_mismatch,-800,
purchase,BANK000081,itc_matched,2B000028,tax_clean,0,
purchase,BANK000080,blocked_credit_no_itc,2B000036,tax_blocked_credit,0,blocked_17_5_food_and_beverages
purchase,BANK000083,itc_missing_in_2b,,tax_missing_2b,-17200,vendor never filed; input credit at risk
purchase,BANK000088,itc_matched,2B000023,tax_clean,0,
purchase,BANK000087,itc_matched,2B000027,tax_clean,0,
purchase,BANK000091,no_itc_applicable,,tax_no_itc,0,non_gst_supply_fuel
purchase,BANK000102,no_itc_applicable,,tax_no_itc,0,unregistered_supplier
purchase,BANK000101,itc_matched,2B000064,tax_clean,0,
purchase,BANK000105,no_itc_applicable,,tax_no_itc,0,unregistered_supplier
purchase,BANK000106,no_itc_applicable,,tax_no_itc,0,non_gst_supply_fuel
purchase,BANK000107,no_itc_applicable,,tax_no_itc,0,non_gst_supply_fuel
purchase,BANK000112,blocked_credit_no_itc,2B000043,tax_blocked_credit,0,blocked_17_5_vacation_travel
purchase,BANK000115,no_itc_applicable,,tax_no_itc,0,unregistered_supplier
purchase,BANK000123,blocked_credit_no_itc,2B000075,tax_blocked_credit,0,blocked_17_5_food_and_beverages
purchase,BANK000127,itc_matched,2B000068,tax_clean,0,
purchase,BANK000128,no_itc_applicable,,tax_no_itc,0,unregistered_supplier
purchase,BANK000130,itc_matched,2B000055,tax_clean,0,
purchase,BANK000131,blocked_credit_no_itc,2B000078,tax_blocked_credit,0,blocked_17_5_food_and_beverages
purchase,BANK000133,itc_matched,2B000057,tax_clean,0,
purchase,BANK000134,blocked_credit_no_itc,2B000074,tax_blocked_credit,0,blocked_17_5_food_and_beverages
purchase,BANK000142,itc_amount_mismatch,2B000061,tax_amount_mismatch,-2600,
purchase,BANK000140,itc_matched,2B000047,tax_clean,0,
purchase,BANK000141,itc_matched,2B000051,tax_clean,0,
purchase,BANK000147,blocked_credit_no_itc,2B000045,tax_blocked_credit,0,blocked_17_5_vacation_travel
