line_id,period,gstin,vendor_name,invoice_no,invoice_date,taxable_value_paise,gst_paise,tax_head
2B000001,2025-04,06AAECM4763T1ZF,MAKEMYTRIP HOLIDAYS,MMT/20305,2025-04-05,242409,43634,igst
2B000002,2025-04,06AAECM4763T1ZF,MAKEMYTRIP HOLIDAYS,MMT/50210,2025-04-24,476056,85690,igst
2B000003,2025-04,06AAECM4763T1ZF,MAKEMYTRIP HOLIDAYS,MMT/65489,2025-04-12,419891,75580,igst
2B000004,2025-04,07AAACB2894G1ZH,BHARTI AIRTEL LTD,BAL/34765,2025-04-12,211780,38120,igst
2B000005,2025-04,27AAACB0446L1ZS,BLUE DART EXPRESS LTD,BDE/26124,2025-04-11,189091,34036,igst
2B000006,2025-04,27AAACB0446L1ZS,BLUE DART EXPRESS LTD,BDE/31223,2025-04-10,58042,10447,igst
2B000007,2025-04,27AAACB0446L1ZS,BLUE DART EXPRESS LTD,BDE/42723,2025-04-09,163731,29472,igst
2B000008,2025-04,27AAACB0446L1ZS,BLUE DART EXPRESS LTD,BDE/53103,2025-04-02,111860,20135,igst
2B000009,2025-04,27AAACB0446L1ZS,BLUE DART EXPRESS LTD,BDE/57100,2025-04-12,75572,13603,igst
2B000010,2025-04,27AAACB0446L1ZS,BLUE DART EXPRESS LTD,BDE/65925,2025-04-08,129210,23258,igst
2B000011,2025-04,27AAACB0446L1ZS,BLUE DART EXPRESS LTD,BDE/71233,2025-04-09,115707,20827,igst
2B000012,2025-04,27AAACB0446L1ZS,BLUE DART EXPRESS LTD,BDE/91176,2025-04-12,74014,13322,igst
2B000013,2025-04,27AABCA9603P1ZL,AMAZON WEB SERVICES INDIA PL,AWSIN/40180,2025-04-05,1465920,267166,igst
2B000014,2025-04,27AAECV4031B1ZQ,VISTAPRINT MARKETING,VP/39227,2025-04-21,72413,13034,igst
2B000015,2025-04,27AAECV4031B1ZQ,VISTAPRINT MARKETING,VP/90721,2025-04-26,71047,12788,igst
2B000016,2025-04,27AAECV4031B1ZQ,VISTAPRINT MARKETING,VP/96501,2025-04-14,141279,25430,igst
