payment_id,order_id,method,amount_paise,fee_paise,tax_paise,status,created_at,settlement_id
pay_qZQ0yBy0kbflb2,order_VLHJoU3oRH95id,upi,91847,276,50,captured,2025-04-01T12:52:39,setl_eaJX1ElpqQvKTV
pay_CcPzIAxohWJnxu,order_DGvYY9czelR3v4,upi,591300,1774,319,captured,2025-04-01T20:43:35,setl_eaJX1ElpqQvKTV
pay_UAgw4SmdIasy9s,order_DGvYY9czelR3v4,upi,591300,1774,319,captured,2025-04-01T20:51:35,setl_eaJX1ElpqQvKTV
pay_GlMktKORPeFOy5,order_fmTxuIjNw6yGAL,netbanking,618900,10521,1894,refunded,2025-04-01T15:01:01,
pay_PA9Vn6HsDIJd0w,order_yudhUielLWMS5G,upi,12500,38,7,captured,2025-04-01T07:38:50,setl_eaJX1ElpqQvKTV
pay_xM39IMrWsrshGN,order_CDFqKwjB3TgFVb,card,61700,1234,222,captured,2025-04-01T14:02:53,setl_0D7QcT3kWC3yLr
pay_kFKWjBJHHr6YwP,order_joTgn77LiCC5zZ,upi,29200,88,16,captured,2025-04-01T19:46:17,setl_eaJX1ElpqQvKTV
pay_m1fb28Yhnim6sZ,order_jhS5EhqFCukZUA,upi,2569700,7709,1388,captured,2025-04-01T08:01:04,setl_eaJX1ElpqQvKTV
pay_ii0TMNE4emdKz8,order_YsgpAQJis3OIfk,upi,1932100,5796,1043,captured,2025-04-01T11:41:10,setl_eaJX1ElpqQvKTV
pay_0DKPj7VerghwxF,order_PgA8VV7LUsQ6zT,upi,2392200,7177,1292,captured,2025-04-02T18:12:57,setl_PzzFBAStBu7hGu
pay_kHN8KdrFCSFxTB,order_Wav3Vt2I5eFCMr,card,28800,576,104,captured,2025-04-02T22:25:55,setl_PzzFBAStBu7hGu
pay_pv6X6ncgahZznq,order_l3CpGxzj7FULn5,card,2247994,44960,8093,captured,2025-04-02T12:07:55,setl_PzzFBAStBu7hGu
pay_noCCCTOtTgCkJq,order_shFKyPIkxAk9jq,wallet,2170580,43412,7814,captured,2025-04-02T13:12:55,setl_PzzFBAStBu7hGu
pay_eFcZWAQIKePZ6k,order_9xkwBCw2rZn0lo,upi,207600,623,112,refunded,2025-04-02T17:24:16,
pay_ZHBbdnu8uxQSIG,order_U1z5U4Uy4MCVn3,card,53500,1070,193,captured,2025-04-02T12:30:26,setl_PzzFBAStBu7hGu
pay_r5Ts1FiCREFKnc,order_xKHEHcBsQw4oKR,upi,2570000,7710,1388,captured,2025-04-02T11:48:49,setl_PzzFBAStBu7hGu
pay_fizqc4q9ebYIU8,order_atKGC0Y24MNyTM,card,2362600,47252,8505,captured,2025-04-02T19:10:35,setl_PzzFBAStBu7hGu
pay_tP6147AMCOVVv9,order_5jCbLQJzWtpU8R,upi,14200,43,8,captured,2025-04-03T20:43:20,setl_fhWQo4Um9MuZJm
pay_9y3lwH1raAWllJ,order_sR1L6EBDXGsRMj,card,249400,4988,898,captured,2025-04-03T15:30:18,setl_fhWQo4Um9MuZJm
pay_ABeyrWDob2YFST,order_jTdo5tOKx6yKZt,wallet,18500,370,67,captured,2025-04-03T15:10:49,setl_fhWQo4Um9MuZJm
pay_582Lk2Rvu2H2lH,order_g4OoePVBdyLwrZ,card,698800,13976,2516,captured,2025-04-03T18:47:57,setl_fhWQo4Um9MuZJm
