settlement_id,amount_paise,fees_paise,tax_paise,utr,payment_count,status,created_at,settled_at
setl_eaJX1ElpqQvKTV,6088216,18331,3300,ICIC367502599174,8,processed,2025-04-02T01:15:00,2025-04-03
setl_0D7QcT3kWC3yLr,60244,1234,222,IDFB629341437167,1,processed,2025-04-02T01:15:00,2025-04-03
setl_PzzFBAStBu7hGu,11646128,152157,27389,KKBK386503218673,7,processed,2025-04-03T01:15:00,2025-04-04
setl_fhWQo4Um9MuZJm,2412459,34949,6292,IDFB121473639558,8,processed,2025-04-04T01:15:00,2025-04-05
setl_SnClBzlpG4fOCM,3659982,11019,1985,HDFC659292592201,8,processed,2025-04-05T01:15:00,2025-04-07
setl_f19thxprFFRmtn,51261,1050,189,ICIC183524264871,1,processed,2025-04-05T01:15:00,2025-04-07
setl_QjRZnyUYkHJoNG,6389571,93583,16846,ICIC951532503523,9,processed,2025-04-06T01:15:00,2025-04-07
setl_HMcYAO4VYp3Xeo,2329125,7013,1262,IDFB455766080131,3,processed,2025-04-07T01:15:00,2025-04-08
setl_XIfdcDLQk8EPyh,88169,1806,325,IDFB259748615652,2,processed,2025-04-07T01:15:00,2025-04-08
setl_7cDJyw1X4e2DeI,4226573,16078,2893,KKBK392934492369,7,processed,2025-04-08T01:15:00,2025-04-09
setl_kewZKQthcYxyI6,1396429,16409,2953,ICIC111265450854,7,processed,2025-04-09T01:15:00,2025-04-10
setl_wYvH3Rg3TtnxHa,7342765,44915,8085,SBIN674966524003,11,processed,2025-04-10T01:15:00,2025-04-11
setl_rmZRuf2IrjOaoz,6559663,45304,8154,UTIB133044350985,9,processed,2025-04-11T01:15:00,2025-04-12
setl_j8vhr5uiipN1Cp,3229789,56216,10118,IDFB668127690903,10,processed,2025-04-12T01:15:00,2025-04-14
setl_0FBE9u5sltsNRb,5069583,15261,2748,ICIC466742813033,11,processed,2025-04-13T01:15:00,2025-04-14
setl_36QtCtfIMZ5L59,218429,3789,682,ICIC637438648801,1,processed,2025-04-13T01:15:00,2025-04-14
setl_utH7TUeG0gEJ1L,3162533,37430,6737,KKBK953011061221,4,processed,2025-04-14T01:15:00,2025-04-15
setl_Dk5U8rfriBjFJ6,2866540,26492,4768,UTIB634682505625,7,processed,2025-04-15T01:15:00,2025-04-16
setl_DtMhpTeCpqat4j,5765313,36075,6493,YESB920186045021,8,processed,2025-04-16T01:15:00,2025-04-17
setl_GUsll3DsbB1Rs0,481253,8176,1471,ICIC754498540099,7,processed,2025-04-17T01:15:00,2025-04-18
setl_5T86fXM2jkT4SW,1538072,9855,1773,IDFB979387312093,8,processed,2025-04-18T01:15:00,2025-04-19
setl_8pP0jsNW2pzlVX,5733301,17263,3108,YESB370235410520,5,processed,2025-04-19T01:15:00,2025-04-21
